subj,Group,age,angle,rt,angle_num,angle_lin,angle_quad
1,1,-0.5,Angle0,450,0,-1,1
2,1,-0.5,Angle0,390,0,-1,1
3,1,-0.5,Angle0,570,0,-1,1
4,1,-0.5,Angle0,450,0,-1,1
5,1,-0.5,Angle0,510,0,-1,1
6,1,-0.5,Angle0,360,0,-1,1
7,1,-0.5,Angle0,510,0,-1,1
8,1,-0.5,Angle0,510,0,-1,1
9,1,-0.5,Angle0,510,0,-1,1
10,1,-0.5,Angle0,510,0,-1,1
11,2,0.5,Angle0,420,0,-1,1
12,2,0.5,Angle0,600,0,-1,1
13,2,0.5,Angle0,450,0,-1,1
14,2,0.5,Angle0,630,0,-1,1
15,2,0.5,Angle0,420,0,-1,1
16,2,0.5,Angle0,600,0,-1,1
17,2,0.5,Angle0,630,0,-1,1
18,2,0.5,Angle0,480,0,-1,1
19,2,0.5,Angle0,690,0,-1,1
20,2,0.5,Angle0,510,0,-1,1
1,1,-0.5,Angle4,510,4,0,-2
2,1,-0.5,Angle4,480,4,0,-2
3,1,-0.5,Angle4,630,4,0,-2
4,1,-0.5,Angle4,660,4,0,-2
5,1,-0.5,Angle4,660,4,0,-2
6,1,-0.5,Angle4,450,4,0,-2
7,1,-0.5,Angle4,600,4,0,-2
8,1,-0.5,Angle4,660,4,0,-2
9,1,-0.5,Angle4,660,4,0,-2
10,1,-0.5,Angle4,540,4,0,-2
11,2,0.5,Angle4,570,4,0,-2
12,2,0.5,Angle4,720,4,0,-2
13,2,0.5,Angle4,540,4,0,-2
14,2,0.5,Angle4,660,4,0,-2
15,2,0.5,Angle4,570,4,0,-2
16,2,0.5,Angle4,780,4,0,-2
17,2,0.5,Angle4,690,4,0,-2
18,2,0.5,Angle4,570,4,0,-2
19,2,0.5,Angle4,750,4,0,-2
20,2,0.5,Angle4,690,4,0,-2
1,1,-0.5,Angle8,630,8,1,1
2,1,-0.5,Angle8,540,8,1,1
3,1,-0.5,Angle8,660,8,1,1
4,1,-0.5,Angle8,720,8,1,1
5,1,-0.5,Angle8,630,8,1,1
6,1,-0.5,Angle8,450,8,1,1
7,1,-0.5,Angle8,720,8,1,1
8,1,-0.5,Angle8,780,8,1,1
9,1,-0.5,Angle8,660,8,1,1
10,1,-0.5,Angle8,660,8,1,1
11,2,0.5,Angle8,690,8,1,1
12,2,0.5,Angle8,810,8,1,1
13,2,0.5,Angle8,690,8,1,1
14,2,0.5,Angle8,780,8,1,1
15,2,0.5,Angle8,780,8,1,1
16,2,0.5,Angle8,870,8,1,1
17,2,0.5,Angle8,870,8,1,1
18,2,0.5,Angle8,720,8,1,1
19,2,0.5,Angle8,900,8,1,1
20,2,0.5,Angle8,810,8,1,1
